species,speccode,class,order,family,acc_name,match_type,confidence,gbif_key,synonym_of
Acanthurus auranticavus,4748,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus auranticavus Randall, 1956",EXACT,99,5209158,
Acanthurus bariene,4307,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus bariene Lesson, 1831",EXACT,99,5209156,
Acanthurus japonicus,23375,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus japonicus (Schmidt, 1931)",EXACT,99,5209165,
Acanthurus lineatus,1258,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus lineatus (Linnaeus, 1758)",EXACT,99,5209244,
Acanthurus mata,1255,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus mata (Cuvier, 1829)",EXACT,99,5209204,
Acanthurus nigricans,6011,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus nigricans (Linnaeus, 1758)",EXACT,99,5209162,
Acanthurus nigricauda,4747,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus nigricauda Duncker & Mohr, 1929",EXACT,99,5209160,
Acanthurus nigrofuscus,4739,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus nigrofuscus (Forsskål, 1775)",EXACT,99,5209227,
Acanthurus olivaceus,4744,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus olivaceus Bloch & Schneider, 1801",EXACT,99,5209196,
Acanthurus triostegus,1260,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus triostegus (Linnaeus, 1758)",EXACT,99,5209217,
Acanthurus xanthopterus,1261,Teleostei,Acanthuriformes,Acanthuridae,"Acanthurus xanthopterus Valenciennes, 1835",EXACT,99,5209252,
Ctenochaetus binotatus,6012,Teleostei,Acanthuriformes,Acanthuridae,"Ctenochaetus binotatus Randall, 1955",EXACT,99,2379623,
Ctenochaetus cyanocheilus,59486,Teleostei,Acanthuriformes,Acanthuridae,"Ctenochaetus cyanocheilus Randall & Clements, 2001",EXACT,99,2379644,
Naso brachycentron,6020,Teleostei,Acanthuriformes,Acanthuridae,"Naso brachycentron (Valenciennes, 1835)",EXACT,99,5209101,
Naso brevirostris,6021,Teleostei,Acanthuriformes,Acanthuridae,"Naso brevirostris (Cuvier, 1829)",EXACT,97,9760005,
Naso hexacanthus,1263,Teleostei,Acanthuriformes,Acanthuridae,"Naso hexacanthus (Bleeker, 1855)",EXACT,99,5209121,
Naso lituratus,1264,Teleostei,Acanthuriformes,Acanthuridae,"Naso lituratus (Forster, 1801)",EXACT,99,5209096,
Naso lopezi,6022,Teleostei,Acanthuriformes,Acanthuridae,"Naso lopezi Herre, 1927",EXACT,99,5209118,
Naso thynnoides,6932,Teleostei,Acanthuriformes,Acanthuridae,"Naso thynnoides (Cuvier, 1829)",EXACT,99,9815142,
Naso tonganus,60076,Teleostei,Acanthuriformes,Acanthuridae,"Naso tonganus (Valenciennes, 1835)",EXACT,99,5209116,
Naso unicornis,1265,Teleostei,Acanthuriformes,Acanthuridae,"Naso unicornis (Forsskål, 1775)",EXACT,99,5209124,
Naso vlamingii,6024,Teleostei,Acanthuriformes,Acanthuridae,"Naso vlamingii (Valenciennes, 1835)",EXACT,99,5209104,
Paracanthurus hepatus,6017,Teleostei,Acanthuriformes,Acanthuridae,"Paracanthurus hepatus (Linnaeus, 1766)",EXACT,99,2379534,
Zebrasoma scopas,5951,Teleostei,Acanthuriformes,Acanthuridae,"Zebrasoma scopas (Cuvier, 1829)",EXACT,99,2379864,
Zebrasoma velifer,1266,Teleostei,Acanthuriformes,Acanthuridae,"Zebrasoma velifer (Bloch, 1795)",EXACT,98,2379875,2379877
Acropoma japonicum,1267,Teleostei,Acropomatiformes,Acropomatidae,"Acropoma japonicum Günther, 1859",EXACT,99,5209531,
Oryzias javanicus,12254,Teleostei,Beloniformes,Adrianichthyidae,"Oryzias javanicus (Bleeker, 1854)",EXACT,99,2368403,
Aetobatus ocellatus,12600,Elasmobranchii,Myliobatiformes,Aetobatidae,"Aetobatus ocellatus (Kuhl, 1823)",EXACT,99,2419246,
Clupisoma sinense,26739,Teleostei,Siluriformes,Ailiidae,"Clupisoma sinense (Huang, 1981)",EXACT,99,2341704,
Laides hexanema,16147,Teleostei,Siluriformes,Ailiidae,"Laides hexanema (Bleeker, 1852)",EXACT,99,2341628,
Acrochordonichthys falcifer,58361,Teleostei,Siluriformes,Akysidae,"Acrochordonichthys falcifer Ng & Ng, 2001",EXACT,99,2340876,
Acrochordonichthys pachyderma,58362,Teleostei,Siluriformes,Akysidae,"Acrochordonichthys pachyderma Vaillant, 1902",EXACT,99,2340865,
Acrochordonichthys rugosus,23304,Teleostei,Siluriformes,Akysidae,"Acrochordonichthys rugosus (Bleeker, 1846)",EXACT,99,2340879,
Acrochordonichthys septentrionalis,58359,Teleostei,Siluriformes,Akysidae,"Acrochordonichthys septentrionalis Ng & Ng, 2001",EXACT,99,2340867,
Akysis hendricksoni,26974,Teleostei,Siluriformes,Akysidae,"Akysis hendricksoni Alfred, 1966",EXACT,99,2340902,
Akysis microps,58042,Teleostei,Siluriformes,Akysidae,"Akysis microps Ng & Tan, 1999",EXACT,99,2340913,
Parakysis grandis,27401,Teleostei,Siluriformes,Akysidae,"Parakysis grandis Ng & Lim, 1995",EXACT,99,2340935,
Parakysis longirostris,27402,Teleostei,Siluriformes,Akysidae,"Parakysis longirostris Ng & Lim, 1995",EXACT,99,2340933,
Parakysis verrucosus,23313,Teleostei,Siluriformes,Akysidae,"Parakysis verrucosus Herre, 1940",EXACT,99,2340929,
Pseudobagarius alfredi,52534,Teleostei,Siluriformes,Akysidae,"Pseudobagarius alfredi (Ng & Kottelat, 1998)",EXACT,99,2340950,
Albula vulpes,228,Teleostei,Albuliformes,Albulidae,"Albula vulpes (Linnaeus, 1758)",EXACT,99,5204104,
Alopias pelagicus,5891,Elasmobranchii,Lamniformes,Alopiidae,"Alopias pelagicus Nakamura, 1935",EXACT,99,2420809,
Ambassis ambassis,61467,Teleostei,Ovalentaria/misc,Ambassidae,"Ambassis ambassis (Lacepède, 1802)",EXACT,99,2387295,
Ambassis buruensis,11783,Teleostei,Ovalentaria/misc,Ambassidae,"Ambassis buruensis Bleeker, 1856",EXACT,99,2387303,
Ambassis dussumieri,9899,Teleostei,Ovalentaria/misc,Ambassidae,"Ambassis dussumieri Cuvier, 1828",EXACT,99,2387309,
Ambassis gymnocephalus,4806,Teleostei,Ovalentaria/misc,Ambassidae,"Ambassis gymnocephalus (Lacepède, 1802)",EXACT,99,2387311,
Ambassis interrupta,5153,Teleostei,Ovalentaria/misc,Ambassidae,"Ambassis interrupta Bleeker, 1853",EXACT,99,2387290,
Ambassis miops,9234,Teleostei,Ovalentaria/misc,Ambassidae,"Ambassis miops Günther, 1872",EXACT,99,2387328,
Ambassis octava,71233,Teleostei,Ovalentaria/misc,Ambassidae,"Ambassis Cuvier, 1828",HIGHERRANK,94,2387272,
Ambassis urotaenia,9235,Teleostei,Ovalentaria/misc,Ambassidae,"Ambassis urotaenia Bleeker, 1852",EXACT,99,2387296,
Chanda ranga,10130,Teleostei,Ovalentaria/misc,Ambassidae,"Chanda ranga Hamilton, 1822",EXACT,98,2387239,2387235
Chanda siamensis,16164,Teleostei,Ovalentaria/misc,Ambassidae,"Chanda siamensis Fowler, 1937",EXACT,98,2387247,2387246
Gymnochanda filamentosa,24795,Teleostei,Ovalentaria/misc,Ambassidae,"Gymnochanda filamentosa Fraser-Brunner, 1955",EXACT,97,2387166,
Parambassis apogonoides,24799,Teleostei,Ovalentaria/misc,Ambassidae,"Parambassis apogonoides (Bleeker, 1851)",EXACT,99,2387252,
Parambassis wolffii,16235,Teleostei,Ovalentaria/misc,Ambassidae,"Parambassis wolffii (Bleeker, 1850)",EXACT,99,2387224,
Amblyceps foratum,60061,Teleostei,Siluriformes,Amblycipitidae,"Amblyceps foratum Ng & Kottelat, 2000",EXACT,99,2342854,
Anabas testudineus,495,Teleostei,Anabantiformes,Anabantidae,"Anabas testudineus (Bloch, 1792)",EXACT,99,2391579,
Anguilla bengalensis,1272,Teleostei,Anguilliformes,Anguillidae,"Anguilla bengalensis (Gray, 1831)",EXACT,99,5213038,
Anguilla bicolor,1274,Teleostei,Anguilliformes,Anguillidae,"Anguilla bicolor McClelland, 1844",EXACT,99,5712355,
Anguilla malgumora,5426,Teleostei,Anguilliformes,Anguillidae,"Anguilla malgumora Kaup, 1856",EXACT,99,5213049,
Photoblepharon palpebratum,7185,Teleostei,Trachichthyiformes,Anomalopidae,"Photoblepharon palpebratum (Boddaert, 1781)",EXACT,99,2356670,
Abantennarius coccineus,5402,Teleostei,Lophiiformes,Antennariidae,"Abantennarius coccineus (Lesson, 1831)",EXACT,98,11954282,7193714
Antennarius hispidus,8074,Teleostei,Lophiiformes,Antennariidae,"Antennarius hispidus (Bloch & Schneider, 1801)",EXACT,99,5214680,
Antennarius striatus,5474,Teleostei,Lophiiformes,Antennariidae,"Antennarius striatus (Shaw, 1794)",EXACT,99,5214795,
Histrio histrio,3089,Teleostei,Lophiiformes,Antennariidae,,NONE,100,,
Mirolabrichthys pascalus,6934,Teleostei,Perciformes/Serranoidei,Anthiadidae,"Mirolabrichthys pascalus (Jordan & Tanaka, 1927)",EXACT,98,2387678,2387675
Plectranthias jothyi,59844,Teleostei,Perciformes/Serranoidei,Anthiadidae,"Plectranthias jothyi Randall, 1996",EXACT,99,2388025,
Pseudanthias randalli,6571,Teleostei,Perciformes/Serranoidei,Anthiadidae,"Pseudanthias randalli (Lubbock & Allen, 1978)",EXACT,99,2387682,
Pyronotanthias lori,7456,Teleostei,Perciformes/Serranoidei,Anthiadidae,"Pyronotanthias Gill, 2022",HIGHERRANK,92,11978557,
Pyronotanthias smithvanizi,7460,Teleostei,Perciformes/Serranoidei,Anthiadidae,"Pyronotanthias Gill, 2022",HIGHERRANK,92,11978557,
Sayonara japonica,10577,Teleostei,Perciformes/Serranoidei,Anthiadidae,"Sayonara Jordan & Seale, 1906",HIGHERRANK,94,2387544,2387984
Apistus carinatus,6383,Teleostei,Perciformes/Scorpaenoidei,Apistidae,"Apistus carinatus (Bloch & Schneider, 1801)",EXACT,99,5201409,
Cocotropus echinatus,59074,Teleostei,Perciformes/Scorpaenoidei,Aploactinidae,"Cocotropus echinatus (Cantor, 1849)",EXACT,99,2337007,
Aplocheilus panchax,4756,Teleostei,Cyprinodontiformes,Aplocheilidae,"Aplocheilus panchax (Hamilton, 1822)",EXACT,99,2347811,
Apogon talboti,12906,Teleostei,Kurtiformes,Apogonidae,"Apogon talboti Smith, 1961",EXACT,99,5211698,
Apogonichthyoides melas,5749,Teleostei,Kurtiformes,Apogonidae,"Apogonichthyoides melas (Bleeker, 1848)",EXACT,99,7193075,
Apogonichthyoides niger,8232,Teleostei,Kurtiformes,Apogonidae,"Apogonichthyoides niger (Döderlein, 1883)",EXACT,99,5853512,
Apogonichthyoides pseudotaeniatus,26632,Teleostei,Kurtiformes,Apogonidae,"Apogonichthyoides pseudotaeniatus (Gon, 1986)",EXACT,99,5962039,
Archamia bleekeri,60358,Teleostei,Kurtiformes,Apogonidae,"Archamia bleekeri (Günther, 1859)",EXACT,99,2397400,
Cheilodipterus alleni,12876,Teleostei,Kurtiformes,Apogonidae,"Cheilodipterus alleni Gon, 1993",EXACT,99,2397523,
Cheilodipterus isostigma,5779,Teleostei,Kurtiformes,Apogonidae,"Cheilodipterus isostigmus (Schultz, 1940)",FUZZY,96,2397537,
Cheilodipterus macrodon,5781,Teleostei,Kurtiformes,Apogonidae,"Cheilodipterus macrodon (Lacepède, 1802)",EXACT,99,2397541,
Cheilodipterus singapurensis,5782,Teleostei,Kurtiformes,Apogonidae,"Cheilodipterus singapurensis Bleeker, 1860",EXACT,99,2397515,
Cheilodipterus zonatus,8591,Teleostei,Kurtiformes,Apogonidae,"Cheilodipterus zonatus Smith & Radcliffe, 1912",EXACT,99,2397526,
Fibramia amboinensis,7848,Teleostei,Kurtiformes,Apogonidae,"Fibramia amboinensis (Bleeker, 1853)",EXACT,99,8406364,
Jaydia ellioti,5751,Teleostei,Kurtiformes,Apogonidae,"Jaydia ellioti (Day, 1875)",EXACT,99,4353363,
Jaydia lineata,8231,Teleostei,Kurtiformes,Apogonidae,"Jaydia lineata (Temminck & Schlegel, 1842)",EXACT,99,7386475,
Nectamia bandanensis,5763,Teleostei,Kurtiformes,Apogonidae,"Nectamia bandanensis (Bleeker, 1854)",EXACT,99,2397474,
Nectamia ignitops,63749,Teleostei,Kurtiformes,Apogonidae,"Nectamia ignitops Fraser, 2008",EXACT,99,2397464,
Nectamia savayensis,5764,Teleostei,Kurtiformes,Apogonidae,"Nectamia savayensis (Günther, 1872)",EXACT,99,2397471,
Nectamia similis,63751,Teleostei,Kurtiformes,Apogonidae,"Nectamia similis Fraser, 2008",EXACT,99,2397477,
Nectamia viria,63698,Teleostei,Kurtiformes,Apogonidae,"Nectamia viria Fraser, 2008",EXACT,99,2397461,
Ostorhinchus aroubiensis,61606,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus aroubiensis (Hombron & Jacquinot, 1853)",EXACT,99,7193035,
Ostorhinchus aureus,4837,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus aureus (Lacepède, 1802)",EXACT,99,7193028,
Ostorhinchus cavitensis,25109,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus cavitensis (Jordan & Seale, 1907)",EXACT,99,7193021,
Ostorhinchus chrysopomus,58153,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus chrysopomus (Bleeker, 1854)",EXACT,99,7193043,
Ostorhinchus chrysotaenia,13003,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus chrysotaenia (Bleeker, 1851)",EXACT,99,7193038,
Ostorhinchus compressus,5769,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus compressus (Smith & Radcliffe, 1911)",EXACT,99,5788261,
Ostorhinchus endekataenia,6524,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus endekataenia (Bleeker, 1852)",EXACT,99,2397226,
Ostorhinchus fasciatus,6605,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus fasciatus (White, 1790)",EXACT,98,7193045,
Ostorhinchus fleurieu,4838,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus fleurieu Lacepède, 1802",EXACT,99,2397257,
Ostorhinchus griffini,50880,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus griffini (Seale, 1910)",EXACT,99,6168678,
Ostorhinchus holotaenia,46445,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus holotaenia (Regan, 1905)",EXACT,99,7193026,
Ostorhinchus kiensis,8230,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus kiensis (Jordan & Snyder, 1901)",EXACT,99,7193012,
Ostorhinchus margaritophorus,58156,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus margaritophorus (Bleeker, 1855)",EXACT,99,7193029,
Ostorhinchus moluccensis,8589,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus moluccensis (Valenciennes, 1832)",EXACT,99,2397293,
Ostorhinchus multilineatus,11619,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus multilineatus (Bleeker, 1874)",EXACT,99,7193044,
Ostorhinchus nanus,25037,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus nanus (Allen, Kuiter & Randall, 1994)",EXACT,99,7193039,
Ostorhinchus nigrocincta,10621,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus nigrocincta (Smith & Radcliffe, 1912)",EXACT,99,7193025,
Ostorhinchus parvulus,23452,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus parvulus (Smith & Radcliffe, 1912)",EXACT,99,7193047,
Ostorhinchus pleuron,63447,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus pleuron (Fraser, 2005)",EXACT,99,7193034,
Ostorhinchus sealei,6230,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus sealei (Fowler, 1918)",EXACT,99,7193049,
Ostorhinchus urostigmus,60367,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus urostigmus (Bleeker, 1874)",EXACT,99,7771019,
Ostorhinchus wassinki,59184,Teleostei,Kurtiformes,Apogonidae,"Ostorhinchus wassinki (Bleeker, 1861)",EXACT,99,7193016,
Pristicon rhodopterus,23455,Teleostei,Kurtiformes,Apogonidae,"Pristicon rhodopterus (Bleeker, 1852)",EXACT,99,7193007,
Pristicon trimaculatus,5748,Teleostei,Kurtiformes,Apogonidae,"Pristicon trimaculatus (Cuvier, 1828)",EXACT,99,7193008,
Pseudamia amblyuroptera,4361,Teleostei,Kurtiformes,Apogonidae,"Pseudamia amblyuroptera (Bleeker, 1856)",EXACT,99,5211526,
Pseudamia gelatinosa,4362,Teleostei,Kurtiformes,Apogonidae,"Pseudamia gelatinosa Smith, 1956",EXACT,99,5211538,
Rhabdamia gracilis,5747,Teleostei,Kurtiformes,Apogonidae,"Rhabdamia gracilis (Bleeker, 1856)",EXACT,99,2397636,
Siphamia corallicola,25077,Teleostei,Kurtiformes,Apogonidae,"Siphamia corallicola Allen, 1993",EXACT,99,2397511,
Siphamia fuscolineata,5783,Teleostei,Kurtiformes,Apogonidae,"Siphamia fuscolineata Lachner, 1953",EXACT,99,2397489,
Siphamia jebbi,25105,Teleostei,Kurtiformes,Apogonidae,"Siphamia jebbi Allen, 1993",EXACT,99,2397484,
Sphaeramia nematoptera,5778,Teleostei,Kurtiformes,Apogonidae,"Sphaeramia nematoptera (Bleeker, 1856)",EXACT,99,2396947,
Taeniamia fucata,5776,Teleostei,Kurtiformes,Apogonidae,"Taeniamia fucata (Cantor, 1849)",EXACT,99,7614042,
Taeniamia lineolata,7854,Teleostei,Kurtiformes,Apogonidae,"Taeniamia lineolata (Cuvier, 1828)",EXACT,99,8373241,
Taeniamia macroptera,59188,Teleostei,Kurtiformes,Apogonidae,"Taeniamia macroptera (Cuvier, 1828)",EXACT,99,7686917,
Taeniamia zosterophora,5777,Teleostei,Kurtiformes,Apogonidae,"Taeniamia zosterophora (Bleeker, 1856)",EXACT,99,7732184,
Verulux cypselurus,5746,Teleostei,Kurtiformes,Apogonidae,"Verulux cypselurus (Weber, 1909)",EXACT,99,8588767,
Yarica hyalosoma,8202,Teleostei,Kurtiformes,Apogonidae,"Yarica hyalosoma (Bleeker, 1852)",EXACT,99,8871266,
Zoramia gilberti,5772,Teleostei,Kurtiformes,Apogonidae,"Zoramia gilberti (Jordan & Seale, 1905)",EXACT,99,2397561,
Zoramia viridiventer,63424,Teleostei,Kurtiformes,Apogonidae,"Zoramia viridiventer Greenfield, Langston & Randall, 2005",EXACT,99,2397564,
Arius macronotacanthus,51768,Teleostei,Siluriformes,Ariidae,"Arius macronotacanthus Bleeker, 1846",EXACT,98,2344898,2344897
Arius maculatus,1280,Teleostei,Siluriformes,Ariidae,"Arius maculatus (Thunberg, 1792)",EXACT,99,2345256,
Arius microcephalus,27403,Teleostei,Siluriformes,Ariidae,"Arius microcephalus Bleeker, 1855",EXACT,99,2345284,
Arius subrostratus,1295,Teleostei,Siluriformes,Ariidae,"Arius subrostratus Valenciennes, 1840",EXACT,99,2345248,
Arius sumatranus,1296,Teleostei,Siluriformes,Ariidae,Arius sumatranus,EXACT,99,9486061,
Arius venosus,1283,Teleostei,Siluriformes,Ariidae,"Arius venosus Valenciennes, 1840",EXACT,99,2345242,
Batrachocephalus mino,1298,Teleostei,Siluriformes,Ariidae,"Batrachocephalus mino (Hamilton, 1822)",EXACT,99,5202922,
Cephalocassis borneensis,23390,Teleostei,Siluriformes,Ariidae,"Cephalocassis borneensis (Bleeker, 1851)",EXACT,99,2344786,
Cephalocassis melanochir,23387,Teleostei,Siluriformes,Ariidae,"Cephalocassis melanochir (Bleeker, 1852)",EXACT,99,2344790,
Cryptarius truncatus,23385,Teleostei,Siluriformes,Ariidae,"Cryptarius truncatus (Valenciennes, 1840)",EXACT,99,2345492,
Hemiarius harmandi,51766,Teleostei,Siluriformes,Ariidae,"Hemiarius harmandi Sauvage, 1880",EXACT,99,2344907,
Hexanematichthys sagor,1281,Teleostei,Siluriformes,Ariidae,"Hexanematichthys sagor (Hamilton, 1822)",EXACT,99,2345376,
Ketengus typus,23392,Teleostei,Siluriformes,Ariidae,"Ketengus typus Bleeker, 1846",EXACT,99,2345205,
Kyataphisa caelata,1277,Teleostei,Siluriformes,Ariidae,,NONE,100,,
Netuma thalassina,10220,Teleostei,Siluriformes,Ariidae,"Netuma thalassina (Rüppell, 1837)",EXACT,99,2345402,
Osteogeneiosus militaris,1299,Teleostei,Siluriformes,Ariidae,"Osteogeneiosus militaris (Linnaeus, 1758)",EXACT,99,2345388,
Plicofollis argyropleuron,11739,Teleostei,Siluriformes,Ariidae,"Plicofollis argyropleuron (Valenciennes, 1840)",EXACT,99,2345096,
Plicofollis layardi,1297,Teleostei,Siluriformes,Ariidae,"Plicofollis layardi (Günther, 1866)",EXACT,99,4286768,
Plicofollis nella,23383,Teleostei,Siluriformes,Ariidae,"Plicofollis nella (Valenciennes, 1840)",EXACT,99,2345111,
Plicofollis tonggol,1286,Teleostei,Siluriformes,Ariidae,"Plicofollis tonggol (Bleeker, 1846)",EXACT,99,2345117,
Pseudosciades sona,1294,Teleostei,Siluriformes,Ariidae,,NONE,100,,
Ariomma indica,1300,Teleostei,Scombriformes,Ariommatidae,"Ariomma indicum (Day, 1871)",FUZZY,96,2399426,
Ariomma lurida,8233,Teleostei,Scombriformes,Ariommatidae,"Ariomma luridum Jordan & Snyder, 1904",FUZZY,96,4889072,
Ateleopus japonicus,7281,Teleostei,Ateleopodiformes,Ateleopodidae,"Ateleopus japonicus Bleeker, 1853",EXACT,99,5204668,
Atelomycterus marmoratus,4305,Elasmobranchii,Carcharhiniformes,Atelomycteridae,"Atelomycterus marmoratus (Bennett, 1830)",EXACT,99,2418652,
Atherinomorus lacunosus,1303,Teleostei,Atheriniformes,Atherinidae,"Atherinomorus lacunosus (Forster, 1801)",EXACT,99,2411793,
Doboatherina aetholepis,59891,Teleostei,Atheriniformes,Atherinidae,"Doboatherina aetholepis (Kimura, Iwatsuki & Yoshino, 2002)",EXACT,98,11364697,2411847
Doboatherina valenciennei,15462,Teleostei,Atheriniformes,Atherinidae,"Doboatherina Sasaki & Kimura, 2019",HIGHERRANK,94,11198464,
Bagrichthys hypselopterus,11977,Teleostei,Siluriformes,Bagridae,"Bagrichthys hypselopterus (Bleeker, 1852)",EXACT,99,2338053,
Bagrichthys macracanthus,16161,Teleostei,Siluriformes,Bagridae,"Bagrichthys macracanthus (Bleeker, 1854)",EXACT,99,2338046,
Bagrichthys macropterus,11978,Teleostei,Siluriformes,Bagridae,"Bagrichthys macropterus (Bleeker, 1854)",EXACT,99,2338048,
Bagroides melapterus,23052,Teleostei,Siluriformes,Bagridae,"Bagroides melapterus Bleeker, 1851",EXACT,99,2338270,
Batasio fluviatilis,65818,Teleostei,Siluriformes,Bagridae,"Batasio fluviatilis (Day, 1888)",EXACT,99,5961271,
Hemibagrus baramensis,23073,Teleostei,Siluriformes,Bagridae,"Hemibagrus baramensis (Regan, 1906)",EXACT,99,2338193,
Hemibagrus bongan,27391,Teleostei,Siluriformes,Bagridae,"Hemibagrus bongan (Popta, 1904)",EXACT,99,2338262,
Hemibagrus chrysops,60726,Teleostei,Siluriformes,Bagridae,"Hemibagrus chrysops Ng & Dodson, 1999",EXACT,99,2338240,
Hemibagrus divaricatus,66814,Teleostei,Siluriformes,Bagridae,"Hemibagrus divaricatus Ng & Kottelat, 2013",EXACT,99,7656126,
Hemibagrus fortis,63085,Teleostei,Siluriformes,Bagridae,"Hemibagrus fortis (Popta, 1904)",EXACT,99,2338190,
Hemibagrus furcatus,58052,Teleostei,Siluriformes,Bagridae,"Hemibagrus furcatus Ng, Martin-Smith & Ng, 2000",EXACT,99,2338186,
Hemibagrus gracilis,27257,Teleostei,Siluriformes,Bagridae,"Hemibagrus gracilis Ng & Ng, 1995",EXACT,99,2338187,
Hemibagrus hoevenii,27392,Teleostei,Siluriformes,Bagridae,"Hemibagrus hoevenii (Bleeker, 1846)",EXACT,99,2338171,
Hemibagrus johorensis,63632,Teleostei,Siluriformes,Bagridae,"Hemibagrus johorensis (Herre, 1940)",EXACT,99,2338178,
Hemibagrus nemurus,5427,Teleostei,Siluriformes,Bagridae,"Hemibagrus nemurus (Valenciennes, 1840)",EXACT,99,2338172,
Hemibagrus planiceps,23078,Teleostei,Siluriformes,Bagridae,"Hemibagrus planiceps (Valenciennes, 1840)",EXACT,99,2338184,
Hemibagrus sabanus,23080,Teleostei,Siluriformes,Bagridae,"Hemibagrus sabanus (Inger & Chin, 1959)",EXACT,99,2338202,
Hemibagrus semotus,66812,Teleostei,Siluriformes,Bagridae,"Hemibagrus semotus Ng & Kottelat, 2013",EXACT,99,8363669,
Hemibagrus wyckii,16107,Teleostei,Siluriformes,Bagridae,"Hemibagrus wyckii (Bleeker, 1858)",EXACT,99,2338255,
Hyalobagrus ornatus,23084,Teleostei,Siluriformes,Bagridae,"Hyalobagrus ornatus (Duncker, 1904)",EXACT,99,2338092,
Leiocassis collina,62756,Teleostei,Siluriformes,Bagridae,"Leiocassis collinus Ng & Lim, 2006",FUZZY,96,2338443,
Leiocassis doriae,60729,Teleostei,Siluriformes,Bagridae,"Leiocassis doriae Regan, 1913",EXACT,99,2338444,
Leiocassis hosii,63086,Teleostei,Siluriformes,Bagridae,"Leiocassis hosii Regan, 1906",EXACT,99,2338430,
Leiocassis micropogon,25186,Teleostei,Siluriformes,Bagridae,"Leiocassis micropogon (Bleeker, 1852)",EXACT,99,2338427,
Leiocassis poeciloptera,23066,Teleostei,Siluriformes,Bagridae,"Leiocassis poecilopterus (Valenciennes, 1840)",FUZZY,96,2338309,
Leiocassis saravacensis,23069,Teleostei,Siluriformes,Bagridae,"Leiocassis saravacensis Boulenger, 1894",EXACT,99,2338425,
Mystus armiger,62077,Teleostei,Siluriformes,Bagridae,"Mystus armiger Ng, 2004",EXACT,99,5201874,
Mystus castaneus,60731,Teleostei,Siluriformes,Bagridae,"Mystus castaneus Ng, 2002",EXACT,99,5201840,
Mystus cavasius,5140,Teleostei,Siluriformes,Bagridae,"Mystus cavasius (Hamilton, 1822)",EXACT,99,5201850,
Mystus gulio,5139,Teleostei,Siluriformes,Bagridae,"Mystus gulio (Hamilton, 1822)",EXACT,99,5201896,
Mystus nigriceps,11990,Teleostei,Siluriformes,Bagridae,"Mystus nigriceps (Valenciennes, 1840)",EXACT,99,5201866,
Mystus singaringan,16172,Teleostei,Siluriformes,Bagridae,"Mystus singaringan (Bleeker, 1846)",EXACT,99,5201864,
Mystus vittatus,5137,Teleostei,Siluriformes,Bagridae,"Mystus vittatus (Bloch, 1794)",EXACT,99,5201855,
Mystus wolffii,23081,Teleostei,Siluriformes,Bagridae,"Mystus wolffii (Bleeker, 1851)",EXACT,99,5201907,
Nanobagrus fuscus,23057,Teleostei,Siluriformes,Bagridae,"Nanobagrus fuscus (Popta, 1904)",EXACT,99,5851640,
Nanobagrus lemniscatus,65836,Teleostei,Siluriformes,Bagridae,"Nanobagrus lemniscatus Ng, 2010",EXACT,99,5961266,
Nanobagrus nebulosus,58041,Teleostei,Siluriformes,Bagridae,"Nanobagrus nebulosus Ng & Tan, 1999",EXACT,99,2338165,
Pseudomystus fumosus,62152,Teleostei,Siluriformes,Bagridae,"Pseudomystus fumosus Ng & Lim, 2005",EXACT,99,2338291,
Pseudomystus inornatus,23059,Teleostei,Siluriformes,Bagridae,"Pseudomystus inornatus (Boulenger, 1894)",EXACT,99,2338292,
Pseudomystus leiacanthus,23060,Teleostei,Siluriformes,Bagridae,"Pseudomystus leiacanthus (Weber & de Beaufort, 1912)",EXACT,99,2338308,
