species,speccode,class,order,family
Glaucostegus typus,12577,Elasmobranchii,Rhinopristiformes,Glaucostegidae
Flabellicauda alleni,70309,Teleostei,Gobiesociformes,Gobiesocidae
Acentrogobius cyanomos,25062,Teleostei,Gobiiformes,Gobiidae
Acentrogobius moloanus,23582,Teleostei,Gobiiformes,Gobiidae
Amblyeleotris diagonalis,13152,Teleostei,Gobiiformes,Gobiidae
Amblyeleotris guttata,6671,Teleostei,Gobiiformes,Gobiidae
Amblyeleotris latifasciata,47046,Teleostei,Gobiiformes,Gobiidae
Amblyeleotris randalli,7232,Teleostei,Gobiiformes,Gobiidae
Amblyeleotris rubrimarginata,61007,Teleostei,Gobiiformes,Gobiidae
Amblygobius stethophthalmus,62722,Teleostei,Gobiiformes,Gobiidae
Amblyotrypauchen arctocephalus,59255,Teleostei,Gobiiformes,Gobiidae
Asterropteryx bipunctata,58617,Teleostei,Gobiiformes,Gobiidae
Asterropteryx striata,58618,Teleostei,Gobiiformes,Gobiidae
Aulopareia caerulostellata,71724,Teleostei,Gobiiformes,Gobiidae
Bathygobius fuscus,7201,Teleostei,Gobiiformes,Gobiidae
Brachygobius aggregatus,11802,Teleostei,Gobiiformes,Gobiidae
Brachygobius doriae,25066,Teleostei,Gobiiformes,Gobiidae
Brachygobius kabiliensis,25067,Teleostei,Gobiiformes,Gobiidae
Brachygobius nunus,25235,Teleostei,Gobiiformes,Gobiidae
Brachygobius xanthomelas,25069,Teleostei,Gobiiformes,Gobiidae
Bryaninops natans,7205,Teleostei,Gobiiformes,Gobiidae
Bryaninops tigris,7282,Teleostei,Gobiiformes,Gobiidae
Bryaninops yongei,7251,Teleostei,Gobiiformes,Gobiidae
Cabillus lacertops,23692,Teleostei,Gobiiformes,Gobiidae
Callogobius clitellus,27559,Teleostei,Gobiiformes,Gobiidae
Cryptocentrus leptocephalus,25799,Teleostei,Gobiiformes,Gobiidae
Cryptocentrus nigrocellatus,23637,Teleostei,Gobiiformes,Gobiidae
Cryptocentrus pavoninoides,59242,Teleostei,Gobiiformes,Gobiidae
Cryptocentrus sericus,67818,Teleostei,Gobiiformes,Gobiidae
Ctenogobiops aurocingulus,7237,Teleostei,Gobiiformes,Gobiidae
Discordipinna filamentosa,67394,Teleostei,Gobiiformes,Gobiidae
Discordipinna griessingeri,7212,Teleostei,Gobiiformes,Gobiidae
Discordipinna vibrissa,71547,Teleostei,Gobiiformes,Gobiidae
Dotsugobius bleekeri,27566,Teleostei,Gobiiformes,Gobiidae
Eugnathogobius ganuensis,71491,Teleostei,Gobiiformes,Gobiidae
Eugnathogobius kabilia,25079,Teleostei,Gobiiformes,Gobiidae
Eugnathogobius siamensis,26857,Teleostei,Gobiiformes,Gobiidae
Eviota atriventris,66457,Teleostei,Gobiiformes,Gobiidae
Eviota bifasciata,7213,Teleostei,Gobiiformes,Gobiidae
Eviota pellucida,7269,Teleostei,Gobiiformes,Gobiidae
Eviota prasites,7271,Teleostei,Gobiiformes,Gobiidae
Eviota spilota,7638,Teleostei,Gobiiformes,Gobiidae
Exyrias puntang,377,Teleostei,Gobiiformes,Gobiidae
Fusigobius signipinnis,7513,Teleostei,Gobiiformes,Gobiidae
Glossogobius aureus,8250,Teleostei,Gobiiformes,Gobiidae
Glossogobius celebius,22501,Teleostei,Gobiiformes,Gobiidae
Glossogobius circumspectus,25074,Teleostei,Gobiiformes,Gobiidae
Glossogobius giuris,4833,Teleostei,Gobiiformes,Gobiidae
Gnatholepis yoshinoi,65197,Teleostei,Gobiiformes,Gobiidae
Gobiodon okinawae,7217,Teleostei,Gobiiformes,Gobiidae
Gobiodon quinquestrigatus,22462,Teleostei,Gobiiformes,Gobiidae
Gobiopsis quinquecincta,23663,Teleostei,Gobiiformes,Gobiidae
Gobiopterus chuno,25076,Teleostei,Gobiiformes,Gobiidae
Grallenia lipi,63714,Teleostei,Gobiiformes,Gobiidae
Grallenia rubrilineata,68356,Teleostei,Gobiiformes,Gobiidae
Hemigobius hoevenii,25078,Teleostei,Gobiiformes,Gobiidae
Istigobius diadema,25201,Teleostei,Gobiiformes,Gobiidae
Istigobius ornatus,4322,Teleostei,Gobiiformes,Gobiidae
Koumansetta hectori,7242,Teleostei,Gobiiformes,Gobiidae
Mugilogobius mertoni,27416,Teleostei,Gobiiformes,Gobiidae
Mugilogobius rambaiae,27417,Teleostei,Gobiiformes,Gobiidae
Mugilogobius tigrinus,59900,Teleostei,Gobiiformes,Gobiidae
Oxyurichthys auchenolepis,59250,Teleostei,Gobiiformes,Gobiidae
Oxyurichthys ophthalmonema,10298,Teleostei,Gobiiformes,Gobiidae
Oxyurichthys visayanus,8267,Teleostei,Gobiiformes,Gobiidae
Palutrus scapulopunctatus,8408,Teleostei,Gobiiformes,Gobiidae
Pandaka pygmaea,5460,Teleostei,Gobiiformes,Gobiidae
Paragobiodon melanosoma,22489,Teleostei,Gobiiformes,Gobiidae
Paragobiodon xanthosoma,7220,Teleostei,Gobiiformes,Gobiidae
Paratrypauchen microcephalus,8214,Teleostei,Gobiiformes,Gobiidae
Parawaous megacephalus,25065,Teleostei,Gobiiformes,Gobiidae
Phyllogobius platycephalops,61315,Teleostei,Gobiiformes,Gobiidae
Pleurosicya elongata,11618,Teleostei,Gobiiformes,Gobiidae
Pleurosicya labiata,59437,Teleostei,Gobiiformes,Gobiidae
Pleurosicya micheli,25509,Teleostei,Gobiiformes,Gobiidae
Priolepis nocturna,25525,Teleostei,Gobiiformes,Gobiidae
Priolepis pallidicincta,56842,Teleostei,Gobiiformes,Gobiidae
Psammogobius biocellatus,9946,Teleostei,Gobiiformes,Gobiidae
Pseudogobiopsis festiva,64897,Teleostei,Gobiiformes,Gobiidae
Pseudogobiopsis oligactis,25089,Teleostei,Gobiiformes,Gobiidae
Pseudogobiopsis paludosa,61419,Teleostei,Gobiiformes,Gobiidae
Pseudogobius avicennia,27420,Teleostei,Gobiiformes,Gobiidae
Pseudogobius fulvicaudus,67521,Teleostei,Gobiiformes,Gobiidae
Pseudogobius melanosticta,59873,Teleostei,Gobiiformes,Gobiidae
Pseudogobius poicilosoma,25093,Teleostei,Gobiiformes,Gobiidae
Pseudogobius verticalis,69771,Teleostei,Gobiiformes,Gobiidae
Pseudotrypauchen multiradiatus,25124,Teleostei,Gobiiformes,Gobiidae
Redigobius balteatus,11817,Teleostei,Gobiiformes,Gobiidae
Redigobius bikolanus,11818,Teleostei,Gobiiformes,Gobiidae
Redigobius isognathus,25098,Teleostei,Gobiiformes,Gobiidae
Stenogobius ingeri,25113,Teleostei,Gobiiformes,Gobiidae
Stigmatogobius pleurostigma,25118,Teleostei,Gobiiformes,Gobiidae
Stigmatogobius sadanundio,25119,Teleostei,Gobiiformes,Gobiidae
Stigmatogobius sella,25117,Teleostei,Gobiiformes,Gobiidae
Stiphodon atropurpureus,51779,Teleostei,Gobiiformes,Gobiidae
Stiphodon aureorostrum,63356,Teleostei,Gobiiformes,Gobiidae
Taenioides anguillaris,25125,Teleostei,Gobiiformes,Gobiidae
Taenioides gracilis,10004,Teleostei,Gobiiformes,Gobiidae
Tomiyamichthys nudus,66882,Teleostei,Gobiiformes,Gobiidae
Tomiyamichthys oni,23644,Teleostei,Gobiiformes,Gobiidae
Tomiyamichthys russus,59828,Teleostei,Gobiiformes,Gobiidae
Tomiyamichthys smithi,61636,Teleostei,Gobiiformes,Gobiidae
Trimma agrena,62959,Teleostei,Gobiiformes,Gobiidae
Trimma hollemani,68090,Teleostei,Gobiiformes,Gobiidae
Trimma naudei,22495,Teleostei,Gobiiformes,Gobiidae
Trimma tevegae,12754,Teleostei,Gobiiformes,Gobiidae
Trypauchen pelaeos,63584,Teleostei,Gobiiformes,Gobiidae
Trypauchen vagina,4897,Teleostei,Gobiiformes,Gobiidae
Trypauchenichthys sumatrensis,25127,Teleostei,Gobiiformes,Gobiidae
Tryssogobius colini,61325,Teleostei,Gobiiformes,Gobiidae
Valenciennea muralis,7226,Teleostei,Gobiiformes,Gobiidae
Valenciennea randalli,12613,Teleostei,Gobiiformes,Gobiidae
Valenciennea sexguttata,7227,Teleostei,Gobiiformes,Gobiidae
Valenciennea yanoi,69085,Teleostei,Gobiiformes,Gobiidae
Wuhanlinigobius malayensis,67295,Teleostei,Gobiiformes,Gobiidae
Wuhanlinigobius polylepis,59237,Teleostei,Gobiiformes,Gobiidae
Yongeichthys nebulosus,7228,Teleostei,Gobiiformes,Gobiidae
Grammistes sexlineatus,4925,Teleostei,Perciformes/Serranoidei,Grammistidae
Pogonoperca punctata,12727,Teleostei,Perciformes/Serranoidei,Grammistidae
Pseudogramma polyacanthus,7320,Teleostei,Perciformes/Serranoidei,Grammistidae
Gymnura japonica,11948,Elasmobranchii,Myliobatiformes,Gymnuridae
Gymnura poecilura,8260,Elasmobranchii,Myliobatiformes,Gymnuridae
Gymnura zonura,12593,Elasmobranchii,Myliobatiformes,Gymnuridae
Diagramma melanacrum,60078,Teleostei,Eupercaria/misc,Haemulidae
Diagramma pictum,4465,Teleostei,Eupercaria/misc,Haemulidae
Plectorhinchus chrysotaenia,56810,Teleostei,Eupercaria/misc,Haemulidae
Plectorhinchus diagrammus,6628,Teleostei,Eupercaria/misc,Haemulidae
Plectorhinchus gibbosus,6366,Teleostei,Eupercaria/misc,Haemulidae
Plectorhinchus lessonii,50052,Teleostei,Eupercaria/misc,Haemulidae
Plectorhinchus lineatus,6940,Teleostei,Eupercaria/misc,Haemulidae
Plectorhinchus pica,6370,Teleostei,Eupercaria/misc,Haemulidae
Plectorhinchus pictus,8315,Teleostei,Eupercaria/misc,Haemulidae
Plectorhinchus polytaenia,8316,Teleostei,Eupercaria/misc,Haemulidae
Plectorhinchus vittatus,25706,Teleostei,Eupercaria/misc,Haemulidae
Pomadasys argenteus,399,Teleostei,Eupercaria/misc,Haemulidae
Pomadasys auritus,60536,Teleostei,Eupercaria/misc,Haemulidae
Pomadasys commersonnii,5126,Teleostei,Eupercaria/misc,Haemulidae
Pomadasys kaakan,6006,Teleostei,Eupercaria/misc,Haemulidae
Pomadasys maculatus,4447,Teleostei,Eupercaria/misc,Haemulidae
Pomadasys olivaceus,5518,Teleostei,Eupercaria/misc,Haemulidae
Pomadasys unimaculatus,51125,Teleostei,Eupercaria/misc,Haemulidae
Helostoma temminckii,500,Teleostei,Anabantiformes,Helostomatidae
Chaenogaleus macrostoma,5896,Elasmobranchii,Carcharhiniformes,Hemigaleidae
Hemigaleus microstoma,5897,Elasmobranchii,Carcharhiniformes,Hemigaleidae
Hemipristis elongata,5898,Elasmobranchii,Carcharhiniformes,Hemigaleidae
Paragaleus tengi,5899,Elasmobranchii,Carcharhiniformes,Hemigaleidae
Hemiramphus archipelagicus,14303,Teleostei,Beloniformes,Hemiramphidae
Hemiramphus far,5404,Teleostei,Beloniformes,Hemiramphidae
Hemiramphus lutkei,7709,Teleostei,Beloniformes,Hemiramphidae
Hyporhamphus balinensis,16813,Teleostei,Beloniformes,Hemiramphidae
Hyporhamphus dussumieri,12895,Teleostei,Beloniformes,Hemiramphidae
Hyporhamphus limbatus,8313,Teleostei,Beloniformes,Hemiramphidae
Hyporhamphus melanopterus,16815,Teleostei,Beloniformes,Hemiramphidae
Hyporhamphus neglectus,16816,Teleostei,Beloniformes,Hemiramphidae
Hyporhamphus quoyi,8262,Teleostei,Beloniformes,Hemiramphidae
Melapedalion breve,16879,Teleostei,Beloniformes,Hemiramphidae
Oxyporhamphus convexus,16884,Teleostei,Beloniformes,Hemiramphidae
Oxyporhamphus micropterus,12112,Teleostei,Beloniformes,Hemiramphidae
Rhynchorhamphus georgii,4666,Teleostei,Beloniformes,Hemiramphidae
Rhynchorhamphus naga,16892,Teleostei,Beloniformes,Hemiramphidae
Chiloscyllium griseum,4304,Elasmobranchii,Orectolobiformes,Hemiscylliidae
Chiloscyllium hasseltii,54210,Elasmobranchii,Orectolobiformes,Hemiscylliidae
Chiloscyllium indicum,5900,Elasmobranchii,Orectolobiformes,Hemiscylliidae
Chiloscyllium plagiosum,5120,Elasmobranchii,Orectolobiformes,Hemiscylliidae
Chiloscyllium punctatum,5903,Elasmobranchii,Orectolobiformes,Hemiscylliidae
Hemiscyllium ocellatum,5906,Elasmobranchii,Orectolobiformes,Hemiscylliidae
Heterodontus zebra,746,Elasmobranchii,Heterodontiformes,Heterodontidae
Hexanchus griseus,637,Elasmobranchii,Hexanchiformes,Hexanchidae
Lophiocharon lithinostomus,47502,Teleostei,Lophiiformes,Histiophrynidae
Lophiocharon trisignatus,10330,Teleostei,Lophiiformes,Histiophrynidae
Myripristis adusta,6506,Teleostei,Holocentriformes,Holocentridae
Myripristis berndti,4910,Teleostei,Holocentriformes,Holocentridae
Myripristis botche,26201,Teleostei,Holocentriformes,Holocentridae
Myripristis hexagona,7305,Teleostei,Holocentriformes,Holocentridae
Myripristis kuntee,7306,Teleostei,Holocentriformes,Holocentridae
Myripristis murdjan,5408,Teleostei,Holocentriformes,Holocentridae
Ostichthys japonicus,8265,Teleostei,Holocentriformes,Holocentridae
Sargocentron cornutum,5406,Teleostei,Holocentriformes,Holocentridae
Sargocentron microstoma,5841,Teleostei,Holocentriformes,Holocentridae
Sargocentron rubrum,6625,Teleostei,Holocentriformes,Holocentridae
Sargocentron spiniferum,6507,Teleostei,Holocentriformes,Holocentridae
Sargocentron tiere,4908,Teleostei,Holocentriformes,Holocentridae
Sargocentron violaceum,4909,Teleostei,Holocentriformes,Holocentridae
Hoplichthys gilberti,8261,Teleostei,Perciformes/Scorpaenoidei,Hoplichthyidae
Indostomus paradoxus,4321,Teleostei,Synbranchiformes,Indostomidae
Istiompax indica,217,Teleostei,Carangiformes,Istiophoridae
Istiophorus platypterus,77,Teleostei,Carangiformes,Istiophoridae
Kajikia audax,223,Teleostei,Carangiformes,Istiophoridae
Makaira mazara,218,Teleostei,Carangiformes,Istiophoridae
Kyphosus cinerascens,5805,Teleostei,Centrarchiformes,Kyphosidae
Kyphosus vaigiensis,5806,Teleostei,Centrarchiformes,Kyphosidae
Anampses geographicus,4891,Teleostei,Eupercaria/misc,Labridae
Bodianus bilunulatus,6580,Teleostei,Eupercaria/misc,Labridae
Bodianus dictynna,64242,Teleostei,Eupercaria/misc,Labridae
Bodianus loxozonus,12744,Teleostei,Eupercaria/misc,Labridae
Bodianus macrourus,14334,Teleostei,Eupercaria/misc,Labridae
Bodianus mesothorax,5501,Teleostei,Eupercaria/misc,Labridae
Bolbometopon muricatum,5537,Teleostei,Eupercaria/misc,Labridae
Calotomus spinidens,4357,Teleostei,Eupercaria/misc,Labridae
Cetoscarus ocellatus,66097,Teleostei,Eupercaria/misc,Labridae
Cheilinus chlorourus,5598,Teleostei,Eupercaria/misc,Labridae
Cheilinus fasciatus,5600,Teleostei,Eupercaria/misc,Labridae
Cheilinus trilobatus,5603,Teleostei,Eupercaria/misc,Labridae
Cheilinus undulatus,5604,Teleostei,Eupercaria/misc,Labridae
Cheilio inermis,5623,Teleostei,Eupercaria/misc,Labridae
Chlorurus bowersi,5542,Teleostei,Eupercaria/misc,Labridae
Chlorurus enneacanthus,7910,Teleostei,Eupercaria/misc,Labridae
Chlorurus oedema,8394,Teleostei,Eupercaria/misc,Labridae
Chlorurus sordidus,5556,Teleostei,Eupercaria/misc,Labridae
Chlorurus spilurus,66478,Teleostei,Eupercaria/misc,Labridae
Choerodon anchorago,5502,Teleostei,Eupercaria/misc,Labridae
Choerodon oligacanthus,8406,Teleostei,Eupercaria/misc,Labridae
Choerodon robustus,6926,Teleostei,Eupercaria/misc,Labridae
Choerodon schoenleinii,6433,Teleostei,Eupercaria/misc,Labridae
Choerodon typus,8304,Teleostei,Eupercaria/misc,Labridae
Choerodon zosterophorus,51738,Teleostei,Eupercaria/misc,Labridae
Cirrhilabrus cyanogularis,68701,Teleostei,Eupercaria/misc,Labridae
Cirrhilabrus flavidorsalis,46517,Teleostei,Eupercaria/misc,Labridae
Cirrhilabrus lubbocki,13041,Teleostei,Eupercaria/misc,Labridae
Cirrhilabrus melanomarginatus,7585,Teleostei,Eupercaria/misc,Labridae
Cirrhilabrus ryukyuensis,68720,Teleostei,Eupercaria/misc,Labridae
Coris dorsomacula,6657,Teleostei,Eupercaria/misc,Labridae
Coris gaimard,5625,Teleostei,Eupercaria/misc,Labridae
Coris pictoides,5107,Teleostei,Eupercaria/misc,Labridae
Epibulus insidiator,5606,Teleostei,Eupercaria/misc,Labridae
Gomphosus varius,5626,Teleostei,Eupercaria/misc,Labridae
Halichoeres argus,4857,Teleostei,Eupercaria/misc,Labridae
Halichoeres binotopsis,12789,Teleostei,Eupercaria/misc,Labridae
Halichoeres chloropterus,4859,Teleostei,Eupercaria/misc,Labridae
Halichoeres erdmanni,65779,Teleostei,Eupercaria/misc,Labridae
Halichoeres hilomeni,65800,Teleostei,Eupercaria/misc,Labridae
Halichoeres kneri,68982,Teleostei,Eupercaria/misc,Labridae
Halichoeres marginatus,5631,Teleostei,Eupercaria/misc,Labridae
Halichoeres miniatus,6614,Teleostei,Eupercaria/misc,Labridae
Halichoeres podostigma,4861,Teleostei,Eupercaria/misc,Labridae
Halichoeres scapularis,5633,Teleostei,Eupercaria/misc,Labridae
Halichoeres timorensis,4860,Teleostei,Eupercaria/misc,Labridae
Hemigymnus melapterus,5636,Teleostei,Eupercaria/misc,Labridae
Hipposcarus longiceps,5539,Teleostei,Eupercaria/misc,Labridae
Hologymnosus annulatus,5637,Teleostei,Eupercaria/misc,Labridae
Iniistius evides,66411,Teleostei,Eupercaria/misc,Labridae
Labroides dimidiatus,5459,Teleostei,Eupercaria/misc,Labridae
Leptojulis cyanopleura,10576,Teleostei,Eupercaria/misc,Labridae
Leptoscarus vaigiensis,4360,Teleostei,Eupercaria/misc,Labridae
Macropharyngodon meleagris,4984,Teleostei,Eupercaria/misc,Labridae
Novaculichthys taeniourus,5610,Teleostei,Eupercaria/misc,Labridae
Oxycheilinus digramma,5599,Teleostei,Eupercaria/misc,Labridae
Paracheilinus angulatus,4845,Teleostei,Eupercaria/misc,Labridae
Paracheilinus filamentosus,4844,Teleostei,Eupercaria/misc,Labridae
Pseudocheilinus hexataenia,5617,Teleostei,Eupercaria/misc,Labridae
Pseudocoris bleekeri,59631,Teleostei,Eupercaria/misc,Labridae
Pseudocoris heteroptera,11620,Teleostei,Eupercaria/misc,Labridae
Pseudodax moluccanus,5594,Teleostei,Eupercaria/misc,Labridae
Pteragogus guttatus,5621,Teleostei,Eupercaria/misc,Labridae
Scarus dimidiatus,4973,Teleostei,Eupercaria/misc,Labridae
Scarus festivus,5544,Teleostei,Eupercaria/misc,Labridae
Scarus ghobban,5548,Teleostei,Eupercaria/misc,Labridae
Scarus globiceps,4970,Teleostei,Eupercaria/misc,Labridae
Scarus hypselopterus,12707,Teleostei,Eupercaria/misc,Labridae
Scarus oviceps,5551,Teleostei,Eupercaria/misc,Labridae
Scarus prasiognathos,4971,Teleostei,Eupercaria/misc,Labridae
Scarus quoyi,5554,Teleostei,Eupercaria/misc,Labridae
Scarus rivulatus,4969,Teleostei,Eupercaria/misc,Labridae
Scarus rubroviolaceus,5555,Teleostei,Eupercaria/misc,Labridae
Scarus schlegeli,4975,Teleostei,Eupercaria/misc,Labridae
Scarus spinus,4974,Teleostei,Eupercaria/misc,Labridae
Scarus tricolor,6438,Teleostei,Eupercaria/misc,Labridae
Stethojulis bandanensis,5640,Teleostei,Eupercaria/misc,Labridae
Stethojulis interrupta,6633,Teleostei,Eupercaria/misc,Labridae
Stethojulis trilineata,6622,Teleostei,Eupercaria/misc,Labridae
Thalassoma amblycephalum,5642,Teleostei,Eupercaria/misc,Labridae
Thalassoma hardwicke,5643,Teleostei,Eupercaria/misc,Labridae
Thalassoma jansenii,5644,Teleostei,Eupercaria/misc,Labridae
Thalassoma lunare,5645,Teleostei,Eupercaria/misc,Labridae
Thalassoma lutescens,5646,Teleostei,Eupercaria/misc,Labridae
Thalassoma pavo,2500,Teleostei,Eupercaria/misc,Labridae
Thalassoma purpureum,5647,Teleostei,Eupercaria/misc,Labridae
Thalassoma quinquevittatum,5648,Teleostei,Eupercaria/misc,Labridae
Thalassoma trilobatum,5649,Teleostei,Eupercaria/misc,Labridae
Lactarius lactarius,363,Teleostei,Carangaria/misc,Lactariidae
Isurus oxyrinchus,752,Elasmobranchii,Lamniformes,Lamnidae
Lates calcarifer,346,Teleostei,Carangaria/misc,Latidae
Psammoperca waigiensis,8212,Teleostei,Carangaria/misc,Latidae
Branchiostegus argentatus,4594,Teleostei,Eupercaria/misc,Latilidae
Aurigequula fasciata,4452,Teleostei,Acanthuriformes,Leiognathidae
Aurigequula longispinis,59023,Teleostei,Acanthuriformes,Leiognathidae
Deveximentum hanedai,24805,Teleostei,Acanthuriformes,Leiognathidae
Deveximentum insidiator,4455,Teleostei,Acanthuriformes,Leiognathidae
Deveximentum megalolepis,24806,Teleostei,Acanthuriformes,Leiognathidae
Deveximentum ruconius,4811,Teleostei,Acanthuriformes,Leiognathidae
Equulites berbis,7748,Teleostei,Acanthuriformes,Leiognathidae
Equulites laterofenestra,63518,Teleostei,Acanthuriformes,Leiognathidae
Equulites leuciscus,4453,Teleostei,Acanthuriformes,Leiognathidae
Equulites oblongus,58321,Teleostei,Acanthuriformes,Leiognathidae
Equulites popei,4450,Teleostei,Acanthuriformes,Leiognathidae
Eubleekeria jonesi,63865,Teleostei,Acanthuriformes,Leiognathidae
Eubleekeria splendens,4454,Teleostei,Acanthuriformes,Leiognathidae
Gazza achlamys,5797,Teleostei,Acanthuriformes,Leiognathidae
Gazza minuta,4462,Teleostei,Acanthuriformes,Leiognathidae
Gazza rhombea,59084,Teleostei,Acanthuriformes,Leiognathidae
Karalla daura,4574,Teleostei,Acanthuriformes,Leiognathidae
Leiognathus equula,4451,Teleostei,Acanthuriformes,Leiognathidae
Nuchequula gerreoides,4809,Teleostei,Acanthuriformes,Leiognathidae
Photopectoralis bindus,4449,Teleostei,Acanthuriformes,Leiognathidae
Leptobarbus hoevenii,4797,Teleostei,Cypriniformes,Leptobarbidae
Leptobarbus hosii,17413,Teleostei,Cypriniformes,Leptobarbidae
Leptobarbus melanotaenia,5438,Teleostei,Cypriniformes,Leptobarbidae
Gnathodentex aureolineatus,1832,Teleostei,Eupercaria/misc,Lethrinidae
Gymnocranius elongatus,8084,Teleostei,Eupercaria/misc,Lethrinidae
Gymnocranius euanus,1837,Teleostei,Eupercaria/misc,Lethrinidae
Gymnocranius frenatus,1838,Teleostei,Eupercaria/misc,Lethrinidae
Gymnocranius grandoculis,1834,Teleostei,Eupercaria/misc,Lethrinidae
Gymnocranius griseus,1833,Teleostei,Eupercaria/misc,Lethrinidae
Gymnocranius microdon,1839,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus amboinensis,1853,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus atkinsoni,1854,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus erythracanthus,1862,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus erythropterus,1842,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus genivittatus,1865,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus harak,1851,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus lentjan,1863,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus mahsena,1843,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus microdon,1845,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus miniatus,1858,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus nebulosus,1846,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus obsoletus,1847,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus olivaceus,1864,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus ornatus,1866,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus reticulatus,1859,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus rubrioperculatus,1848,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus semicinctus,1849,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus variegatus,1850,Teleostei,Eupercaria/misc,Lethrinidae
Lethrinus xanthochilus,1852,Teleostei,Eupercaria/misc,Lethrinidae
Monotaxis grandoculis,1869,Teleostei,Eupercaria/misc,Lethrinidae
Monotaxis heterodon,68239,Teleostei,Eupercaria/misc,Lethrinidae
Wattsia mossambica,1870,Teleostei,Eupercaria/misc,Lethrinidae
Belonoperca chabanaudi,12622,Teleostei,Perciformes/Serranoidei,Liopropomatidae
Diploprion bifasciatus,6603,Teleostei,Perciformes/Serranoidei,Liopropomatidae
Liopropoma susumi,7318,Teleostei,Perciformes/Serranoidei,Liopropomatidae
Datnioides polota,14698,Teleostei,Acanthuriformes,Lobotidae
Lobotes surinamensis,1077,Teleostei,Acanthuriformes,Lobotidae
Lophiomus setigerus,7517,Teleostei,Lophiiformes,Lophiidae
Hypostomus plecostomus,3057,Teleostei,Siluriformes,Loricariidae
Pterygoplichthys pardalis,25741,Teleostei,Siluriformes,Loricariidae
Aphareus furca,81,Teleostei,Eupercaria/misc,Lutjanidae
Aphareus rutilans,83,Teleostei,Eupercaria/misc,Lutjanidae
Aprion virescens,84,Teleostei,Eupercaria/misc,Lutjanidae
Caesio caerulaurea,918,Teleostei,Eupercaria/misc,Lutjanidae
Caesio cuning,919,Teleostei,Eupercaria/misc,Lutjanidae
Caesio lunaris,920,Teleostei,Eupercaria/misc,Lutjanidae
Caesio teres,923,Teleostei,Eupercaria/misc,Lutjanidae
Caesio xanthonota,927,Teleostei,Eupercaria/misc,Lutjanidae
Dipterygonotus balteatus,928,Teleostei,Eupercaria/misc,Lutjanidae
Etelis carbunculus,87,Teleostei,Eupercaria/misc,Lutjanidae
Etelis coruscans,1385,Teleostei,Eupercaria/misc,Lutjanidae
Etelis radiosus,1392,Teleostei,Eupercaria/misc,Lutjanidae
Gymnocaesio gymnoptera,929,Teleostei,Eupercaria/misc,Lutjanidae
Lipocheilus carnolabrum,1394,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus argentimaculatus,1407,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus bengalensis,1409,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus biguttatus,1410,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus bohar,1417,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus boutton,1418,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus carponotatus,1424,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus decussatus,1428,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus ehrenbergii,793,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus erythropterus,1406,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus fulviflamma,261,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus fulvus,262,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus gibbus,265,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus goldiei,1441,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus johnii,264,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus kasmira,156,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus lemniscatus,157,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus lunulatus,158,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus lutjanus,159,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus madras,160,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus malabaricus,162,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus maxweberi,164,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus monostigma,166,Teleostei,Eupercaria/misc,Lutjanidae
Lutjanus notatus,168,Teleostei,Eupercaria/misc,Lutjanidae
